trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.7, 'e': 0.0005408328826392645}",20,3,21.408778194408967,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.0005165289256198347}",25,17,15.419656124891976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.0004938271604938272}",25,16,13.139267916856628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.0004725897920604915}",30,4,37.38065509066132,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.7, 'e': 0.0004526935264825713}",30,18,21.670764198200263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.00043402777777777775}",25,8,30.075449529857092,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.00041649312786339027}",20,7,20.45060077690266,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.7, 'e': 0.0004}",25,12,21.897997280638183,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.00038446751249519417}",20,0,27.655789524340545,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.7, 'e': 0.0003698224852071006}",30,0,22.750743011071762,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.000355998576005696}",20,2,6.41501123069675,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.0003429355281207133}",20,1,20.99556824587617,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.00033057851239669424}",20,13,13.403422592154378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.00031887755102040814}",30,0,49.18260943462667,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.7, 'e': 0.0003077870113881194}",30,0,-1.2560066663997589,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.7, 'e': 0.00029726516052318666}",25,0,39.291787266392184,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.0002872737719046251}",35,28,10.41143407728304,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.0002777777777777778}",20,2,-14.83962224267636,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
61,False,"{'a': 0.7, 'e': 0.0002687449610319806}",25,18,10.949418010909003,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.00026014568158168577}",25,6,36.56350840569223,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.0002519526329050139}",20,13,12.678672281372418,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.000244140625}",30,17,26.913392170550367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.00023668639053254438}",25,0,30.326478623320817,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.7, 'e': 0.0002295684113865932}",30,22,12.301988447304398,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.00022276676319893073}",25,0,19.305467241028044,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.7, 'e': 0.00021626297577854672}",20,10,13.499672095062502,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.00021003990758244065}",25,9,25.366030145420485,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.00020408163265306123}",25,7,28.8447777369881,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.00019837333862328903}",25,20,8.220597287706864,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.00019290123456790122}",25,10,24.397864007683268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.00018765246762994934}",20,0,27.573407851641996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.7, 'e': 0.00018261504747991235}",25,14,23.179361555674543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.00017777777777777779}",20,10,18.836125386317903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.00017313019390581717}",20,7,23.585104578606277,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.00016866250632484398}",25,7,29.13848615256861,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.0001643655489809336}",30,12,-7.870097101123495,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.7, 'e': 0.0001602307322544464}",20,10,22.13056709166704,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.00015625}",25,14,21.993620314214514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.00015241579027587258}",25,6,24.703697158648023,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.000148720999405116}",30,18,18.79940445016368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.00014515894904920887}",20,0,28.049974377771115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.0001417233560090703}",20,15,10.324882403175497,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.0001384083044982699}",25,16,12.875332097794255,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.00013520822065981613}",30,16,26.418628312270176,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
